"No.","Time","Source","Destination","Protocol","Length","Info"
"14994","139.443385","192.168.88.132","104.18.32.47","QUIC","92","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14995","139.443660","192.168.88.132","160.79.104.10","QUIC","87","Protected Payload (KP0), DCID=01d4d2dd2eb3bb9709d430dd25b3821e29d0c22f"
"14996","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14997","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14998","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14999","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15000","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15001","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15002","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15003","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15004","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15005","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15006","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15007","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15008","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15009","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15010","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15011","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15012","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15013","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15014","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15015","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15016","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15017","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15018","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15019","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15020","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15021","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15022","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15023","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15024","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15025","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15026","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15027","139.446445","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"15028","139.446872","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
